Designator,Mid X,Mid Y,Rotation,Layer
R72,240.543097,61.549999,180.0,bottom
R73,234.593097,61.473731,180.0,bottom
R74,234.6,82.35,180.0,bottom
R75,247.493097,64.349999,90.0,bottom
R76,241.543097,64.299999,90.0,bottom
R77,235.593097,64.223731,90.0,bottom
R78,235.6,85.1,90.0,bottom
R79,144.45,113.75,180.0,bottom
R8,123.2,54.3,270.0,top
R80,144.45,112.0,180.0,bottom
R81,144.45,110.25,180.0,bottom
R82,135.2,112.0,90.0,bottom
R83,176.9,48.05,270.0,bottom
R84,208.065,55.610387,90.0,bottom
R85,202.825,55.340387,90.0,bottom
R86,206.225,55.340387,90.0,bottom
R87,185.63,56.25,90.0,bottom
R88,241.55,85.1,90.0,bottom
R89,247.5,85.1,90.0,bottom
R9,128.7,39.7,90.0,top
R90,240.55,82.35,180.0,bottom
R91,246.5,82.35,180.0,bottom
SPICS2_1,94.575,103.75,0.0,bottom
SPIMISO_1,115.85,103.75,0.0,bottom
SPIMOSI_1,108.65,103.75,0.0,bottom
SPISCK_1,101.6,103.75,0.0,bottom
SW1,243.5,50.4,180.0,top
SW2,130.5,71.0,180.0,bottom
SW3,243.5,99.0,0.0,top
SW4,101.798,90.55,180.0,bottom
U1,140.575,88.45,0.0,bottom
U10,118.05,92.3,0.0,bottom
U11,81.8,57.85,90.0,top
U12,176.694,71.0795,0.0,top
U13,183.895,71.0795,0.0,top
U14,140.5,112.0,0.0,top
U16,204.595,47.060387,180.0,bottom
U3,104.3,47.19625,90.0,bottom
U4,201.0,66.97,90.0,bottom
U5,203.225,50.890387,90.0,bottom
U6,81.8,47.34,90.0,top
U7,140.3,86.45,180.0,top
U8,162.294,71.0795,0.0,top
U9,169.495,71.0795,0.0,top
VR3,243.5,76.028,0.0,top
X1,140.4,76.3,270.0,bottom
X2,146.03,76.956287,0.0,bottom
